Past,EVT,ACRES
Past Conifer,Agricultural,15009
Past Conifer,Conifer,157615
Past Conifer,Conifer-Hardwood,13615
Past Conifer,Developed,31592
Past Conifer,Exotics,11412
Past Conifer,Grassland,7
Past Conifer,Hardwood,72487
Past Conifer,Riparian,30186
Past Grassland,Conifer,2
Past Grassland,Conifer-Hardwood,0
Past Grassland,Developed,15
Past Grassland,Exotics,1
Past Grassland,Hardwood,0
Past Grassland,Riparian,6
Past Hardwood,Agricultural,19897
Past Hardwood,Conifer,50042
Past Hardwood,Conifer-Hardwood,13370
Past Hardwood,Developed,30632
Past Hardwood,Exotics,8146
Past Hardwood,Grassland,10
Past Hardwood,Hardwood,348401
Past Hardwood,Riparian,18097
Past Hardwood-Conifer,Agricultural,8219
Past Hardwood-Conifer,Conifer,70786
Past Hardwood-Conifer,Conifer-Hardwood,11980
Past Hardwood-Conifer,Developed,18221
Past Hardwood-Conifer,Exotics,4336
Past Hardwood-Conifer,Hardwood,52589
Past Hardwood-Conifer,Riparian,13518
Past Riparian,Agricultural,1844
Past Riparian,Conifer,51624
Past Riparian,Conifer-Hardwood,1343
Past Riparian,Developed,9373
Past Riparian,Exotics,2373
Past Riparian,Grassland,12
Past Riparian,Hardwood,32257
Past Riparian,Riparian,660201
