"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",2,0,379395,21.1,184.38597
"2","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",8,0.588235294,92585,5.2,44.99631
"3","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",20,0,191,0,0.092826
"4","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",21,0.588235294,380,0,0.18468
"5","All Fire","13023_51",0.0009718,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",28,0,0,0,0
"6","All Fire","13441_51",0.1932342,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",4,0.549019608,110054,6.1,21266.1966468
"7","All Fire","13442_51",0.0091302,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",13,0.447058824,11395,0.6,104.038629
"8","All Fire","13620_51_63_64_65_66",0.0205164,"Laurentian-Acadian Northern Pine(-Oak) Forest",9,0.749019608,61375,3.4,1259.19405
"9","All Fire","13622_41_50",0.0294152,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",30,0.498039216,494,0,14.5311088
"10","All Fire","13651_51",0.0039598,"Boreal White Spruce-Fir-Hardwood Forest - Inland",6,0.447058824,95366,5.3,377.6302868
"11","All Fire","13652_51",0.0018992,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",5,0.274509804,109018,6.1,207.0469856
"12","All Fire","13660_50",0.0065894,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",22,0.388235294,25,0,0.164735
"13","All Fire","13660_51_63_64_65_66",0.0064298,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",7,0.388235294,95515,5.3,614.142347
"14","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",11,0,22250,1.2,5072.75525
"15","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",16,0.392156863,6082,0.3,719.020122
"16","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",23,0.392156863,4,0,0.472884
"17","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",24,0.615686275,24,0,7.0283424
"18","All Fire","14210_31_38_42_43_44_50_51",0.2824352,"Central Tallgrass Prairie",25,0.768627451,2,0,0.5648704
"19","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",12,0.611764706,16055,0.9,79.719497
"20","All Fire","14660_50_51",0.0021454,"Great Lakes Wooded Dune and Swale",26,0,76,0,0.1630504
"21","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",14,0.960784314,6433,0.4,109.9322504
"22","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",3,0.541176471,311551,17.4,3003.9124318
