"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,162340,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,36104,2
"2",13,54104,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,12032,0.7
"3",14,56730,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,12616,0.7
"4",15,36351,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,8084,0.5
"5",16,16763,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,3728,0.2
"6",17,7039,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,1565,0.1
"7",22,20301,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,4515,0.3
"8",23,7088,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,1576,0.1
"9",24,2046,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,455,0
"10",25,192246,278209151,"Developed-Roads",0,0,0,0,0,0,42754,2.4
"11",31,378,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,84,0
"12",32,747,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,166,0
"13",63,7409,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,1648,0.1
"14",64,5105,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,1135,0.1
"15",65,34939,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,7770,0.4
"16",68,313,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,70,0
"17",69,16,2081810,"NASS-Aquaculture",214,210,77,0.839215686,0.823529412,0.301960784,4,0
"18",101,2,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,0,0
"19",102,3,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,1,0
"20",103,1582,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,352,0
"21",104,105,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,23,0
"22",105,306,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,68,0
"23",106,1181,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,263,0
"24",107,6188,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,1376,0.1
"25",108,61026,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,13572,0.8
"26",109,49738,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,11061,0.6
"27",110,103277,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,22968,1.3
"28",111,201327,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,44774,2.5
"29",112,341581,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,75966,4.2
"30",113,507420,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,112847,6.3
"31",114,685698,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,152496,8.5
"32",115,856039,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,190378,10.6
"33",116,896533,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,199384,11.1
"34",117,809168,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,179955,10
"35",118,1078361,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,239822,13.4
"36",119,498439,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,110850,6.2
"37",120,326864,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,72693,4
"38",121,267828,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,59564,3.3
"39",122,178099,130787915,"Tree Height = 22 meters",71,164,64,0.278431373,0.643137255,0.250980392,39608,2.2
"40",123,97679,108221951,"Tree Height = 23 meters",66,154,60,0.258823529,0.603921569,0.235294118,21723,1.2
"41",124,53515,87181121,"Tree Height = 24 meters",62,143,56,0.243137255,0.560784314,0.219607843,11901,0.7
"42",203,49,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,11,0
"43",204,1142,213842140,"Shrub Height = 0.4 meter",233,220,187,0.91372549,0.862745098,0.733333333,254,0
"44",205,973,162002292,"Shrub Height = 0.5 meter",231,217,182,0.905882353,0.850980392,0.71372549,216,0
"45",206,6342,147479762,"Shrub Height = 0.6 meter",229,214,177,0.898039216,0.839215686,0.694117647,1410,0.1
"46",207,4412,156580406,"Shrub Height = 0.7 meter",227,211,172,0.890196078,0.82745098,0.674509804,981,0.1
"47",208,15238,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,3389,0.2
"48",209,4348,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,967,0.1
"49",210,9162,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,2038,0.1
"50",211,10019,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,2228,0.1
"51",212,11960,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,2660,0.1
"52",213,6931,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,1541,0.1
"53",214,5438,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,1209,0.1
"54",215,2506,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,557,0
"55",216,2109,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,469,0
"56",217,1443,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,321,0
"57",218,1484,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,330,0
"58",219,1061,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,236,0
"59",220,1484,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,330,0
"60",221,1079,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,240,0
"61",222,1245,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,277,0
"62",223,1074,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,239,0
"63",224,1483,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,330,0
"64",225,846,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,188,0
"65",226,959,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,213,0
"66",227,63,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,14,0
"67",228,167,6510582,"Shrub Height = 2.8 meters",62,38,24,0.243137255,0.149019608,0.094117647,37,0
"68",229,36,4373514,"Shrub Height = 2.9 meters",56,34,21,0.219607843,0.133333333,0.082352941,8,0
"69",230,2,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,0,0
"70",301,13541,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,3011,0.2
"71",302,16108,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,3582,0.2
"72",303,82337,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,18311,1
"73",304,699,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,155,0
"74",305,3991,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,888,0
"75",306,35159,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,7819,0.4
"76",307,53172,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,11825,0.7
"77",308,58585,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,13029,0.7
"78",309,35292,31361779,"Herb Height = 0.9 meter",0,107,117,0,0.419607843,0.458823529,7849,0.4
"79",310,55399,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,12320,0.7
