join_field,ref_percent,scls_label,state_class_id,age_category,canopy_category,model_code,bps_name,ref_label,cur_scls_count,bps_count,bps_acres,ref_scls_acres,cur_scls_acres,cur_percent
13022_41_50_51_A,2,A,Early1:ALL,Early1,ALL,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,A,141,2124365,472447,9449,31,0.006637277
13022_41_50_51_B,4,B,Early2:ALL,Early2,ALL,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,B,20625,2124365,472447,18898,4587,0.970878357
13022_41_50_51_C,14,C,Mid1:CLS,Mid1,CLS,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,C,482783,2124365,472447,66143,107368,22.72599106
13022_41_50_51_D,76,D,Late1:CLS,Late1,CLS,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,D,NA,2124365,472447,359060,NA,NA
13022_41_50_51_E,4,E,Mid2:CLS,Mid2,CLS,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,E,1106377,2124365,472447,18898,246052,52.08036284
13022_41_50_51_Agriculture,0,NA,NA,NA,NA,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Agriculture,86727,2124365,472447,0,19288,4.082490532
13022_41_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
13022_41_50_51_Water,0,NA,NA,NA,NA,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,Water,NA,2124365,472447,0,NA,NA
13022_41_50_51_UN,0,NA,NA,NA,NA,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,UN,209640,2124365,472447,0,46623,9.868360663
13022_41_50_51_UE,0,NA,NA,NA,NA,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,UE,85161,2124365,472447,0,18939,4.008774387
13023_51_A,4,A,Early1:ALL,Early1,ALL,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,A,NA,1,0,0,NA,NA
13023_51_B,7,B,Early2:ALL,Early2,ALL,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,B,NA,1,0,0,NA,NA
13023_51_C,16,C,Mid1:CLS,Mid1,CLS,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,C,NA,1,0,0,NA,NA
13023_51_D,69,D,Late1:CLS,Late1,CLS,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,D,NA,1,0,0,NA,NA
13023_51_E,4,E,Mid2:CLS,Mid2,CLS,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,E,1,1,0,0,0,100
13023_51_Agriculture,0,NA,NA,NA,NA,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,Agriculture,NA,1,0,0,NA,NA
13023_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
13023_51_Water,0,NA,NA,NA,NA,13023_51,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,Water,NA,1,0,0,NA,NA
