"","BpS_Name","refLabel","refCur","Percent"
"1","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","A","refPercent",2
"2","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","A","currentPercent",0
"3","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","A","refPercent",2
"4","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","A","currentPercent",0
"5","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","refPercent",4
"6","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","currentPercent",3
"7","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","refPercent",4
"8","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","currentPercent",2
"9","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","refPercent",4
"10","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","currentPercent",0
"11","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","refPercent",4
"12","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","B","currentPercent",1
"13","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","refPercent",14
"14","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","currentPercent",0
"15","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","refPercent",14
"16","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","currentPercent",0
"17","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","refPercent",14
"18","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","currentPercent",23
"19","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","refPercent",14
"20","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","C","currentPercent",18
"21","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","D","refPercent",76
"22","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","D","currentPercent",NA
"23","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","refPercent",4
"24","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","currentPercent",12
"25","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","refPercent",4
"26","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","currentPercent",10
"27","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","refPercent",4
"28","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","currentPercent",54
"29","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","refPercent",4
"30","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","E","currentPercent",43
"31","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","refPercent",0
"32","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","currentPercent",21
"33","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","refPercent",0
"34","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","currentPercent",27
"35","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","refPercent",0
"36","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","currentPercent",2
"37","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","refPercent",0
"38","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Agriculture","currentPercent",11
"39","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","refPercent",0
"40","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","currentPercent",26
"41","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","refPercent",0
"42","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","currentPercent",17
"43","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","refPercent",0
"44","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","currentPercent",5
"45","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","refPercent",0
"46","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Developed","currentPercent",7
"47","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Water","refPercent",0
"48","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","Water","currentPercent",NA
"49","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","refPercent",0
"50","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","currentPercent",33
"51","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","refPercent",0
"52","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","currentPercent",35
"53","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","refPercent",0
"54","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","currentPercent",8
"55","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","refPercent",0
"56","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UN","currentPercent",14
"57","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","refPercent",0
"58","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","currentPercent",2
"59","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","refPercent",0
"60","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","currentPercent",5
"61","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","refPercent",0
"62","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","currentPercent",4
"63","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","refPercent",0
"64","Laurentian-Acadian Northern Hardwoods Forest - Hemlock","UE","currentPercent",3
"65","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","A","refPercent",35
"66","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","A","currentPercent",1
"67","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","B","refPercent",15
"68","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","B","currentPercent",0
"69","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","C","refPercent",31
"70","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","C","currentPercent",12
"71","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","D","refPercent",19
"72","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","D","currentPercent",61
"73","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","E","refPercent",NA
"74","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","E","currentPercent",NA
"75","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","Agriculture","refPercent",0
"76","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","Agriculture","currentPercent",0
"77","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","Developed","refPercent",0
"78","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","Developed","currentPercent",10
"79","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","Water","refPercent",0
"80","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","Water","currentPercent",NA
"81","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","UN","refPercent",0
"82","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","UN","currentPercent",1
"83","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","UE","refPercent",0
"84","Boreal Jack Pine-Black Spruce Forest - Pine Barrens","UE","currentPercent",12
"85","Boreal White Spruce-Fir-Hardwood Forest - Coastal","A","refPercent",4
"86","Boreal White Spruce-Fir-Hardwood Forest - Coastal","A","currentPercent",0
"87","Boreal White Spruce-Fir-Hardwood Forest - Coastal","B","refPercent",13
"88","Boreal White Spruce-Fir-Hardwood Forest - Coastal","B","currentPercent",0
"89","Boreal White Spruce-Fir-Hardwood Forest - Coastal","C","refPercent",4
"90","Boreal White Spruce-Fir-Hardwood Forest - Coastal","C","currentPercent",1
"91","Boreal White Spruce-Fir-Hardwood Forest - Coastal","D","refPercent",79
"92","Boreal White Spruce-Fir-Hardwood Forest - Coastal","D","currentPercent",72
"93","Boreal White Spruce-Fir-Hardwood Forest - Coastal","E","refPercent",NA
"94","Boreal White Spruce-Fir-Hardwood Forest - Coastal","E","currentPercent",NA
